position_x,position_y,position_z,diameter,thickness,density,young_modulus,poisson_ratio,drag_coefficient_normal,drag_coefficient_axial,added_mass_coefficient_normal,added_mass_coefficient_axial,buoyancy_factor,damping_foreaft,damping_sideside,damping_axial,damping_torsion,damping_mass,
0.0,0.0,15.0,9.471528,0.044367,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,28.0,9.471528,0.0426595,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,41.0,9.400957,0.0394485,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,54.0,8.943347,0.0370535,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,67.0,8.365728,0.0353285,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,80.0,7.719982,0.0335925,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,93.0,6.999444,0.0316295,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,106.0,6.543865,0.0287695,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,119.0,6.390923,0.0251825,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,132.0,6.223788,0.0251765,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
0.0,0.0,144.386,6.156199,0.026958,7850.0,2.100000e+11,0.3,0.5,0.0,0.0,0.0,0.0,0.005,0.005,0.005,0.005,0.0,
